,ssc_name,total_persons
476,BOMBAH POINT,15
477,BOMBALA,1403
478,BOMBAY,130
479,BOMBIRA,362
480,BOMBO,118
481,BOMBOWLEE,293
482,BOMBOWLEE CREEK,54
483,BOMEN,28
484,BOMERA,36
485,BONALBO,373
486,BONDI,10977
487,BONDI BEACH,13233
488,BONDI FOREST,2
489,BONDI JUNCTION,10392
490,BONNELLS BAY,3874
491,BONNET BAY,2309
492,BONNY HILLS,3207
493,BONNYRIGG,9165
494,BONNYRIGG HEIGHTS,7692
495,BONSHAW,133
496,BONVILLE,2613
497,BOOERIE CREEK,174
498,BOOK BOOK,103
499,BOOKER BAY,1355
500,BOOKHAM,170
501,BOOKOOKOORARA,28
502,BOOROOK,30
503,BOOROOMA,958
504,BOOROORBAN,36
505,BOOROWA,1607
506,BOOTAWA,179
507,BOOTI BOOTI,0
508,BOOYONG,82
509,BORA RIDGE,114
510,BORAH CREEK,34
511,BORAMBOLA,113
512,BORDER RANGES,0
513,BOREE,107
514,BOREE CREEK,208
515,BORENORE,482
516,BORO,98
517,BOSSLEY PARK,15339
518,BOSTOBRICK,136
519,BOTANY,12439
520,BOTOBOLAR,89
521,BOTTLE CREEK,22
522,BOUDDI,5
523,BOURBAH,38
524,BOURKE,1923
525,BOURKELANDS,2971
526,BOURNDA,164
527,BOURNEWOOD,55
528,BOW BOWING,1737
529,BOWAN PARK,127
530,BOWEN MOUNTAIN,1654
531,BOWENFELS,2080
532,BOWLING ALLEY POINT,30
533,BOWMAN,145
534,BOWMAN FARM,46
535,BOWMANS CREEK,12
536,BOWNA,111
537,BOWNING,610
538,BOWRAL,10695
539,BOWRAVILLE,1125
540,BOX HEAD,0
541,BOX HILL,967
542,BOX RIDGE,46
543,BOXERS CREEK,236
544,BOYDTOWN,71
545,BRADBURY,9230
546,BRAEFIELD,67
547,BRAEMAR,475
548,BRAEMAR BAY,20
549,BRAIDWOOD,1783
550,BRANDY HILL,682
551,BRANXTON,2152
552,BRAUNSTONE,301
553,BRAWBOY,19
554,BRAY PARK,824
555,BRAYS CREEK,72
556,BRAYTON,179
557,BREADALBANE,102
558,BREAKFAST CREEK,48
559,BREAKFAST POINT,4595
560,BREAM BEACH,13
561,BREDBO,351
562,BREELONG,60
563,BREEZA,149
564,BRETTI,26
565,BREWARRINA,1187
566,BREWONGLE,124
567,BRIARBROOK,11
568,BRIBBAREE,134
569,BRIDGMAN,215
570,BRIERFIELD,364
571,BRIGHTON-LE-SANDS,9067
572,BRIGHTWATERS,939
573,BRIL BRIL,0
574,BRIMBIN,59
575,BRINDABELLA,25
576,BRINERVILLE,0
577,BRINGELLY,2812
578,BRINGENBRONG,51
579,BRISBANE GROVE,135
580,BROADMEADOW,1663
581,BROADWATER (BEGA VALLEY),122
582,BROADWATER (RICHMOND VALLEY),665
583,BROADWAY,41
584,BROBENAH,18
585,BROCKLEHURST,379
586,BROCKLESBY,189
587,BROCKLEY,41
588,BRODIES PLAINS,56
589,BROGANS CREEK,9
590,BROGERS CREEK,42
591,BROGO,529
592,BROKE,600
593,BROKEN HEAD,308
594,BROKEN HILL,17836
595,BROMBIN,115
596,BRONTE,7390
597,BROOKDALE,28
598,BROOKFIELD,208
599,BROOKLANA,45
600,BROOKLET,269
601,BROOKLYN,736
602,BROULEE,1801
603,BROWNLOW HILL,449
604,BROWNS CREEK,101
605,BROWNS MOUNTAIN,21
606,BROWNSVILLE,576
607,BRUCEDALE,184
608,BRUIE PLAINS,46
609,BRUINBUN,46
610,BRUMBY PLAINS,2
611,BRUNDEE,49
612,BRUNGLE,110
613,BRUNGLE CREEK,30
614,BRUNKERVILLE,214
615,BRUNSWICK HEADS,1815
616,BRUSHGROVE,198
617,BRUSHY CREEK,24
618,BUANGLA,0
619,BUCCA,580
620,BUCCA WAUKA,91
621,BUCCARUMBI,20
622,BUCHANAN,207
623,BUCKAJO,299
624,BUCKAROO,132
625,BUCKENBOWRA,17
626,BUCKENDERRA,23
627,BUCKENDOON,38
628,BUCKETTY,198
629,BUCKRA BENDINNI,102
630,BUDAWANG,15
631,BUDDABADAH,50
632,BUDDEN,20
633,BUDDEROO,0
634,BUDDONG,0
635,BUDGEE BUDGEE,202
636,BUDGEWOI,3448
637,BUDGEWOI PENINSULA,0
638,BUDGONG,70
639,BUFF POINT,3644
640,BUGALDIE,143
641,BUKALONG,1
642,BUKKULLA,140
643,BULAHDELAH,1447
644,BROOKONG,8
645,BROOKVALE,3511
646,BROOMAN,25
647,BROOMS HEAD,217
648,BROUGHAMS GATE,18
